Symbol,Name,Sector,ROE,ROA,PB_ratio,PE_ratio,Net_margin,Asset_turn
AMAT,Applied Materials Inc.,Information Technology,0.3296,0.1501,6.17,17.21,0.1853,0.81
ADM,Archer-Daniels-Midland Co,Consumer Staples,0.0916,0.0418,1.29,15.05,0.0269,1.56
AJG,Arthur J. Gallagher & Co.,Financials,0.1178,0.037,2.82,25.64,0.0752,0.49
AIZ,Assurant Inc.,Financials,0.1238,0.0168,1.28,23.52,0.081,0.21
T,AT&T Inc.,Telecommunication Services,0.2285,0.0698,1.61,7.74,0.1925,0.36
ADP,Automatic Data Processing,Information Technology,0.4476,0.0441,13.13,30.16,0.136,0.32
AVB,"AvalonBay Communities, Inc.",Real Estate,0.0758,0.0428,2.21,26.13,0.3562,0.12
AVY,Avery Dennison Corp,Materials,0.2717,0.0567,9.51,36.49,0.0432,1.31
BLL,Ball Corp,Materials,0.1143,0.0227,3.46,36.95,0.0382,0.66
BAC,Bank of America Corp,Financials,0.0697,0.0089,1.19,19.89,0.2126,0.04
BAX,Baxter International Inc.,Health Care,0.0787,0.0426,3.65,34.13,0.0679,0.63
BBT,BB&T Corporation,Financials,0.0966,0.0126,1.55,19.34,0.2279,0.05
BRK.B,Berkshire Hathaway,Financials,0.1438,0.0665,1.52,25.15,0.1856,0.36
BBY,Best Buy Co. Inc.,Consumer Discretionary,0.2408,0.0738,4.63,16.65,0.0237,3.11
BIIB,Biogen Inc.,Health Care,0.232,0.1254,5.29,26.46,0.2354,0.53
BLK,BlackRock,Financials,0.1649,0.0224,2.58,22.64,0.3979,0.06
BWA,BorgWarner,Consumer Discretionary,0.1263,0.0489,2.99,25.47,0.0468,1.05
BXP,Boston Properties,Real Estate,0.0885,0.0241,3.45,39.21,0.1737,0.14
BSX,Boston Scientific,Health Care,0.0155,0.006,5.27,383.86,0.0121,0.49
BMY,Bristol-Myers Squibb,Health Care,0.0681,0.0274,8.94,112.72,0.0437,0.63
AVGO,Broadcom,Information Technology,0.3598,0.1472,5.24,63.7,0.3718,0.4
BF.B,Brown-Forman Corp.,Consumer Staples,0.5342,0.1549,14.47,32.17,0.182,0.85
CHRW,C. H. Robinson Worldwide,Industrials,0.3717,0.125,8.45,24.5,0.034,3.68
CA,"CA, Inc.",Information Technology,0.0734,0.0341,2.32,18.93,0.1023,0.33
COG,Cabot Oil & Gas,Energy,0.0438,0.0228,4.76,118.5,0.0651,0.35
CDNS,Cadence Design Systems,Information Technology,0.2039,0.0881,11.72,55.42,0.1052,0.84
CPB,Campbell Soup,Consumer Staples,0.6254,0.1349,8.6,16.81,0.1341,1.01
COF,Capital One Financial,Financials,0.0453,0.007,0.97,28.14,0.081,0.08
CAH,Cardinal Health Inc.,Health Care,0.263,0.0458,2.92,18.02,0.0137,3.33
KMX,Carmax Inc,Consumer Discretionary,0.2048,0.039,3.63,17.82,0.0388,1
CCL,Carnival Corp.,Consumer Discretionary,0.1105,0.0648,1.52,19.13,0.1473,0.44
CAT,Caterpillar Inc.,Industrials,0.1522,0.0286,6.82,126.44,0.0459,0.62
CBOE,Cboe Global Markets,Financials,0.1666,0.0951,4.26,33.15,0.1882,0.5
CBRE,CBRE Group,Real Estate,0.1899,0.0633,3.68,17.72,0.0487,1.3
CBS,CBS Corp.,Consumer Discretionary,0.4675,0.0509,10.72,62.98,0.0794,0.64
CELG,Celgene Corp.,Health Care,0.3745,0.0898,10.59,27,0.2095,0.43
CNC,Centene Corporation,Health Care,0.1504,0.0453,2.66,22.39,0.0206,2.19
CNP,CenterPoint Energy,Utilities,0.4221,0.079,2.5,6.59,0.1759,0.45
CTL,CenturyLink Inc,Telecommunication Services,0.0884,0.0248,1.39,29.07,0.0787,0.32
CERN,Cerner,Health Care,0.1836,0.1351,4.51,25.28,0.165,0.82
CF,CF Industries Holdings Inc,Materials,0.1305,0.0385,2.64,26.79,0.1096,0.29
SCHW,Charles Schwab Corporation,Financials,0.1456,0.0102,4.17,30.17,0.253,0.04
CVX,Chevron Corp.,Energy,0.0687,0.0398,1.56,24.94,0.0695,0.57
CMG,Chipotle Mexican Grill,Consumer Discretionary,0.1362,0.0916,6.07,48.16,0.0416,2.2
CB,Chubb Limited,Financials,0.1253,0.0398,1.74,14.31,0.1449,0.27
CHD,Church & Dwight,Consumer Staples,0.3772,0.1364,5.35,16.7,0.1971,0.69
CI,CIGNA Corp.,Health Care,0.1804,0.0411,3.45,22.34,0.0599,0.69
XEC,Cimarex Energy,Energy,0.2047,0.1054,4.71,29.61,0.2532,0.41
CINF,Cincinnati Financial,Financials,0.1046,0.0378,1.47,11.74,0.1496,0.25
CTAS,Cintas Corporation,Industrials,0.2872,0.1073,6.68,31.9,0.1183,0.91
CFG,Citizens Financial Group,Financials,0.0826,0.0109,0.98,16.07,0.287,0.04
CME,CME Group Inc.,Financials,0.1964,0.0563,2.4,13.22,1.1145,0.05
CMS,CMS Energy,Utilities,0.1163,0.0223,2.84,26.8,0.0778,0.3
KO,Coca-Cola Company (The),Consumer Staples,0.071,0.0158,11.35,168.19,0.0423,0.37
CTSH,Cognizant Technology Solutions,Information Technology,0.1429,0.1049,3.93,22.49,0.1016,1.03
CMCSA,Comcast Corp.,Consumer Discretionary,0.3745,0.1247,2.6,8.03,0.2679,0.47
CMA,Comerica Inc.,Financials,0.1022,0.0114,2.05,22.79,0.2537,0.04
CAG,Conagra Brands,Consumer Staples,0.2342,0.0864,4.01,22.28,0.126,0.69
CXO,Concho Resources,Energy,0.1258,0.0827,2.48,23.13,0.3879,0.21
ED,Consolidated Edison,Utilities,0.1032,0.032,1.6,16.09,0.1286,0.25
STZ,Constellation Brands,Consumer Staples,0.2958,0.1174,5.29,23.62,0.2785,0.42
COST,Costco Wholesale Corp.,Consumer Staples,0.2721,0.0789,7.35,29.49,0.0218,3.62
CCI,Crown Castle International Corp.,Real Estate,0.0311,0.0147,3.55,105.51,0.0761,0.15
CSRA,CSRA Inc.,Information Technology,0.8494,0.0749,11.06,15.67,0.0746,1
CSX,CSX Corp.,Industrials,0.4503,0.1605,3.27,8.93,0.5085,0.32
CMI,Cummins Inc.,Industrials,0.1212,0.052,3.98,29.21,0.0421,1.21
CVS,CVS Health,Consumer Staples,0.1835,0.0642,1.94,11.15,0.0359,1.79
DHI,D. R. Horton,Consumer Discretionary,0.1462,0.0908,2.26,17.66,0.0759,1.2
DHR,Danaher Corp.,Health Care,0.0986,0.0551,2.6,27.86,0.1356,0.41
DRI,Darden Restaurants,Consumer Discretionary,0.264,0.1015,5.63,23.14,0.0692,1.47
DVA,DaVita Inc.,Health Care,0.0825,0.0207,2.82,20.88,0.0294,0.7
DE,Deere & Co.,Industrials,0.1631,0.0226,5.11,22.69,0.0461,0.49
DAL,Delta Air Lines Inc.,Industrials,0.2611,0.0667,2.78,11.06,0.0837,0.8
DVN,Devon Energy Corp.,Energy,0.0169,0.0048,2.14,22.22,0.0096,0.5
DLR,Digital Realty Trust Inc,Real Estate,0.0242,0.0147,2.43,94.09,0.0704,0.15
DFS,Discover Financial Services,Financials,0.2042,0.0224,2.6,14,0.2114,0.1
DISH,Dish Network,Consumer Discretionary,0.3668,0.073,4.24,23.78,0.1458,0.49
DG,Dollar General,Consumer Discretionary,0.2666,0.1261,4.39,20.53,0.0656,1.92
DLTR,Dollar Tree,Consumer Discretionary,0.2769,0.1078,4.01,24.64,0.0771,1.4
D,Dominion Energy,Utilities,0.1751,0.0379,2.83,15.81,0.2284,0.17
DOV,Dover Corp.,Industrials,0.1795,0.0734,3.58,19.75,0.0971,0.76
DWDP,DowDuPont,Materials,0.0199,0.0101,1.62,44.39,0.0234,0.43
DPS,Dr Pepper Snapple Group,Consumer Staples,0.459,0.1043,8.11,18.72,0.1562,0.67
DTE,DTE Energy Co.,Utilities,0.1155,0.0329,1.96,16.47,0.0833,0.39
DUK,Duke Energy,Utilities,0.0738,0.0225,1.47,28.93,0.1298,0.17
DRE,Duke Realty Corp,Real Estate,0.3565,0.2251,2.04,5.64,2.0799,0.11
DXC,DXC Technology,Information Technology,0.1257,0.046,2.16,52.95,0.0606,0.76
ETFC,E*Trade,Financials,0.1108,0.0116,2.26,24.61,0.2745,0.04
EMN,Eastman Chemical,Materials,0.2783,0.0869,2.6,13.16,0.1449,0.6
ETN,Eaton Corporation,Industrials,0.1825,0.0941,2.14,12.51,0.1462,0.64
ECL,Ecolab Inc.,Materials,0.2046,0.0761,5.05,25.95,0.1062,0.71
EIX,Edison Int'l,Utilities,0.0322,0.0099,1.47,36.6,0.0339,0.24
EW,Edwards Lifesciences,Health Care,0.1821,0.1011,9.02,47.02,0.1625,0.62
EA,Electronic Arts,Information Technology,0.2355,0.1266,7.72,29.96,0.1967,0.64
EMR,Emerson Electric Company,Industrials,0.2137,0.0911,5.34,28.31,0.1083,0.84
ETR,Entergy Corp.,Utilities,0.0559,0.0099,1.75,33.97,0.0412,0.24
EOG,EOG Resources,Energy,0.2095,0.1076,3.83,24.16,0.26,0.41
EFX,Equifax Inc.,Industrials,0.167,0.0734,4.47,24.44,0.1546,0.47
EQIX,Equinix,Real Estate,0.0375,0.0136,4.81,139.22,0.0548,0.25
